哀	2008	1653	1319
哀	2007	1607	1258
哀	2006	2168	1798
哀	2005	2585	2110
哀	2004	2255	1772
哀	2003	2453	1837
哀	2002	2458	1982
哀	2001	2433	1907
哀愁	2008	202	174
哀愁	2007	170	146
哀愁	2006	326	271
哀愁	2005	252	230
哀愁	2004	245	220
哀愁	2003	286	247
哀愁	2002	304	266
哀愁	2001	222	194
哀怜	2008	10	10
哀怜	2007	20	18
哀怜	2006	46	42
哀怜	2005	14	14
哀怜	2004	28	28
哀怜	2003	24	24
哀怜	2002	54	52
哀怜	2001	32	32
哀戚	2008	3	3
哀戚	2007	4	4
哀戚	2006	6	6
哀戚	2005	4	4
哀戚	2004	8	8
哀戚	2003	9	9
哀戚	2002	7	6
哀戚	2001	7	7
哀切	2008	1	1
哀切	2007	2	2
哀切	2006	3	3
哀切	2005	4	4
哀切	2004	2	2
哀切	2002	6	6
哀切	2001	6	6
哀伤	2008	2230	1526
哀伤	2007	1932	1234
哀伤	2006	2849	1893
哀伤	2005	2923	1910
哀伤	2004	2262	1567
哀伤	2003	2098	1360
哀伤	2002	2258	1625
哀伤	2001	2254	1576
哀痛	2008	154	137
哀痛	2007	108	94
哀痛	2006	195	177
哀痛	2005	168	160
哀痛	2004	144	142
哀痛	2003	198	194
哀痛	2002	153	149
哀痛	2001	176	168
哀怨	2008	110	102
哀怨	2007	148	140
哀怨	2006	157	143
哀怨	2005	186	173
哀怨	2004	128	125
哀怨	2003	156	145
哀怨	2002	183	170
哀怨	2001	156	156
傲视	2008	214	202
傲视	2007	202	185
傲视	2006	239	225
傲视	2005	267	249
傲视	2004	242	220
傲视	2003	251	223
傲视	2002	288	274
傲视	2001	287	276
懊	2008	82	38
懊	2007	54	33
懊	2006	73	57
懊	2005	56	52
懊	2004	80	66
懊	2003	128	97
懊	2002	75	62
懊	2001	102	92
懊恨	2007	1	1
懊恨	2006	4	3
懊恨	2003	5	4
懊恨	2002	1	1
懊恨	2001	1	1
懊悔	2008	306	283
懊悔	2007	320	269
懊悔	2006	490	437
懊悔	2005	507	457
懊悔	2004	430	380
懊悔	2003	455	408
懊悔	2002	437	397
懊悔	2001	442	389
懊恼	2008	228	214
懊恼	2007	278	257
懊恼	2006	353	306
懊恼	2005	448	410
懊恼	2004	342	323
懊恼	2003	320	284
懊恼	2002	440	401
懊恼	2001	366	340
懊丧	2008	11	11
懊丧	2007	15	15
懊丧	2006	14	14
懊丧	2005	20	20
懊丧	2004	23	23
懊丧	2003	20	20
懊丧	2002	26	22
懊丧	2001	12	12
败兴	2007	2	2
败兴	2005	2	2
败兴	2004	6	6
败兴	2003	2	2
败兴	2002	8	8
败兴	2001	4	4
板	2008	34598	6278
板	2007	32250	6975
板	2006	92548	10954
板	2005	149274	13502
板	2004	50036	10226
板	2003	53130	9274
板	2002	55340	10168
板	2001	57888	9233
半信半疑	2008	120	116
半信半疑	2007	111	109
半信半疑	2006	165	160
半信半疑	2005	259	244
半信半疑	2004	228	210
半信半疑	2003	176	141
半信半疑	2002	184	181
半信半疑	2001	158	157
包涵	2008	986	759
包涵	2007	990	767
包涵	2006	1242	962
包涵	2005	1738	1318
包涵	2004	1242	1008
包涵	2003	1294	1009
包涵	2002	1652	1180
包涵	2001	1434	1028
包容	2008	12134	3830
包容	2007	12424	4162
包容	2006	13964	5638
包容	2005	14080	5988
包容	2004	11864	4986
包容	2003	10620	4476
包容	2002	10838	4682
包容	2001	9194	4056
褒贬	2008	156	144
褒贬	2007	157	151
褒贬	2006	203	189
褒贬	2005	239	215
褒贬	2004	201	178
褒贬	2003	125	117
褒贬	2002	143	136
褒贬	2001	158	145
薄	2008	4350	2723
薄	2007	5426	2997
薄	2006	7046	3973
薄	2005	7632	4324
薄	2004	6690	3776
薄	2003	6066	3599
薄	2002	5456	3782
薄	2001	5178	3542
抱不平	2008	60	58
抱不平	2007	56	56
抱不平	2006	104	102
抱不平	2005	108	104
抱不平	2004	92	92
抱不平	2003	100	92
抱不平	2002	132	126
抱不平	2001	108	100
抱憾	2008	35	34
抱憾	2007	42	42
抱憾	2006	72	68
抱憾	2005	78	76
抱憾	2004	32	32
抱憾	2003	32	28
抱憾	2002	36	36
抱憾	2001	36	34
抱恨	2008	8	8
抱恨	2007	4	4
抱恨	2006	8	8
抱恨	2005	12	12
抱恨	2004	6	6
抱恨	2003	22	22
抱恨	2002	15	15
抱恨	2001	14	14
抱愧	2008	12	10
抱愧	2007	4	4
抱愧	2006	25	25
抱愧	2005	12	12
抱愧	2004	12	12
抱愧	2003	6	6
抱愧	2002	19	17
抱愧	2001	11	11
抱歉	2008	2614	1394
抱歉	2007	2677	1455
抱歉	2006	3807	2093
抱歉	2005	5004	2722
抱歉	2004	4353	2345
抱歉	2003	4181	2113
抱歉	2002	4667	2590
抱歉	2001	4072	2173
抱怨	2008	14308	4506
抱怨	2007	15124	5069
抱怨	2006	20144	7225
抱怨	2005	23730	8578
抱怨	2004	20088	6998
抱怨	2003	19260	6440
抱怨	2002	17618	6749
抱怨	2001	15424	6173
暴跳	2008	19	19
暴跳	2007	13	13
暴跳	2006	14	14
暴跳	2005	20	20
暴跳	2004	12	10
暴跳	2003	16	16
暴跳	2002	21	19
暴跳	2001	39	39
暴跳如雷	2008	36	36
